EarthquakeKey,EarthquakeID,Year_Index,Month_Index,StationName,SiteClass,log_Pa,log_Pv,log_Pd,log_PGV
2021p697740MSZ,2021p697740,9,9,MSZ,A,-8.200862,-12.733705,-16.556601,-10.455135
2021p697740JCZ,2021p697740,9,9,JCZ,A,-5.918851,-10.254464,-14.179354,-8.37493
2020p480511MSZ,2020p480511,8,6,MSZ,A,-4.814367,-8.735872,-12.180405,-7.394477
2020p480511DCZ,2020p480511,8,6,DCZ,A,-8.244871,-11.736069,-14.820633,-10.80489
2014p339094MSZ,2014p339094,2,5,MSZ,A,-6.744971,-11.036691,-15.178088,-9.739669
2019p511858MSZ,2019p511858,7,7,MSZ,A,-7.646974,-12.013801,-16.119096,-9.919617
2019p511858JCZ,2019p511858,7,7,JCZ,A,-8.740924,-12.588798,-15.31162,-10.580761
2019p590178JCZ,2019p590178,7,8,JCZ,A,-6.901535,-10.629158,-13.862602,-7.981147
2019p599358MSZ,2019p599358,7,8,MSZ,A,-7.789389,-11.905968,-16.152687,-10.089817
2019p599358JCZ,2019p599358,7,8,JCZ,A,-8.430699,-12.092744,-14.826112,-10.612764
2021p088256JCZ,2021p088256,9,2,JCZ,A,-6.405081,-9.92778,-13.493427,-8.808054
2015p617118MSZ,2015p617118,3,8,MSZ,A,-7.932904,-11.799275,-16.186374,-10.017777
2018p011969MSZ,2018p011969,6,1,MSZ,A,-6.177081,-10.549751,-14.409718,-8.086759
2015p497274MSZ,2015p497274,3,7,MSZ,A,-6.920793,-11.322305,-14.948714,-10.172675
2016p401268MSZ,2016p401268,4,5,MSZ,A,-8.036327,-11.314075,-14.231026,-10.129134
2016p401268DCZ,2016p401268,4,5,DCZ,A,-6.491516,-10.082614,-13.097671,-8.87708
2020p791337DCZ,2020p791337,8,10,DCZ,A,-7.664368,-11.473705,-15.053385,-10.654264
2015p354854MSZ,2015p354854,3,5,MSZ,A,-8.855593,-12.796663,-15.497519,-11.06824
2019p777001DCZ,2019p777001,7,10,DCZ,A,-7.886411,-12.261585,-15.376158,-10.309953
2019p604594JCZ,2019p604594,7,8,JCZ,A,-8.581257,-12.322606,-15.019483,-10.680016
2017p339533DCZ,2017p339533,5,5,DCZ,A,-5.758901,-9.76721,-12.785891,-8.233527
2019p604065MSZ,2019p604065,7,8,MSZ,A,-5.064747,-8.900461,-12.927619,-7.883165
2019p797481DCZ,2019p797481,7,10,DCZ,A,-8.207318,-12.282954,-16.041135,-11.134489
2019p797481MSZ,2019p797481,7,10,MSZ,A,-8.519185,-12.668108,-15.329638,-10.693146
2018p718119MSZ,2018p718119,6,9,MSZ,A,-8.784785,-11.98453,-14.52886,-12.085626
2020p451391DCZ,2020p451391,8,6,DCZ,A,-8.56915,-12.789469,-16.807251,-11.819451
2020p451391MSZ,2020p451391,8,6,MSZ,A,-8.505052,-12.295997,-15.840464,-10.95331
2020p185706MSZ,2020p185706,8,3,MSZ,A,-6.747719,-11.134489,-14.772623,-9.903488
2020p185706DCZ,2020p185706,8,3,DCZ,A,-7.114814,-11.408565,-15.492157,-11.198115
2013p690577MSZ,2013p690577,1,9,MSZ,A,-8.905425,-12.7508,-15.810611,-10.697561
2013p761216MSZ,2013p761216,1,10,MSZ,A,-7.355774,-11.566326,-15.121147,-10.834892
2015p087949MSZ,2015p087949,3,2,MSZ,A,-7.737114,-12.066311,-15.623399,-10.051988
2020p917122DCZ,2020p917122,8,12,DCZ,A,-9.146483,-12.491092,-16.434177,-11.435964
2020p917122MSZ,2020p917122,8,12,MSZ,A,-8.101939,-11.876769,-15.530309,-9.850895
2017p410807DCZ,2017p410807,5,6,DCZ,A,-9.424772,-13.600399,-16.191742,-10.994132
2019p279803MSZ,2019p279803,7,4,MSZ,A,-9.312373,-12.706948,-15.434999,-9.731216
2019p279803DCZ,2019p279803,7,4,DCZ,A,-7.447006,-11.473705,-14.804372,-11.435964
2021p373377MSZ,2021p373377,9,5,MSZ,A,-7.686007,-10.919599,-14.638766,-9.277549
2021p373377DCZ,2021p373377,9,5,DCZ,A,-7.419828,-11.399597,-15.102865,-11.590887
2014p564965MSZ,2014p564965,2,7,MSZ,A,-7.48413,-11.6476,-15.234328,-10.650036
2021p969070MSZ,2021p969070,9,12,MSZ,A,-7.820089,-11.742339,-15.492157,-10.451669
2015p638208MSZ,2015p638208,3,8,MSZ,A,-5.543767,-9.625856,-13.486207,-8.7077
2016p867831MSZ,2016p867831,4,11,MSZ,A,-5.769567,-9.808177,-12.825969,-7.600802
2016p867831DCZ,2016p867831,4,11,DCZ,A,-4.807097,-8.751499,-11.886892,-8.753466
2022p215239MSZ,2022p215239,10,3,MSZ,A,-6.769346,-11.036691,-14.89432,-10.268771
2018p196640DCZ,2018p196640,6,3,DCZ,A,-10.719933,-12.515319,-14.775231,-12.045656
2018p196640MSZ,2018p196640,6,3,MSZ,A,-9.664471,-12.671288,-15.046512,-12.259473
2022p525240MSZ,2022p525240,10,7,MSZ,A,-6.47838,-10.761509,-14.439132,-8.87314
2015p414567MSZ,2015p414567,3,6,MSZ,A,-9.052201,-12.107133,-14.518708,-11.250561
2018p274891MSZ,2018p274891,6,4,MSZ,A,-7.492132,-11.575865,-13.7202,-11.155251
2021p519899MSZ,2021p519899,9,7,MSZ,A,-8.19672,-12.370947,-16.227911,-10.650036
2021p519899DCZ,2021p519899,9,7,DCZ,A,-7.319721,-11.875331,-15.760421,-11.675444
2016p535300DCZ,2016p535300,4,7,DCZ,A,-6.092586,-10.162258,-13.702182,-10.620927
2016p535300MSZ,2016p535300,4,7,MSZ,A,-7.454448,-11.381897,-14.363692,-8.504751
2018p639558DCZ,2018p639558,6,8,DCZ,A,-10.95331,-12.814879,-15.242627,-12.368592
2018p639558MSZ,2018p639558,6,8,MSZ,A,-10.437923,-13.515406,-15.886984,-12.639937
2019p547039MSZ,2019p547039,7,7,MSZ,A,-6.466829,-11.000102,-15.182002,-10.424364
2019p547039DCZ,2019p547039,7,7,DCZ,A,-8.454862,-12.496425,-15.429961,-10.881654
2015p124547MSZ,2015p124547,3,2,MSZ,A,-4.586313,-8.672585,-11.999058,-8.290046
2020p255775MSZ,2020p255775,8,4,MSZ,A,-8.310415,-12.257366,-16.173608,-11.756272
2020p255775DCZ,2020p255775,8,4,DCZ,A,-7.395442,-11.80864,-15.832917,-11.454657
2016p408314DCZ,2016p408314,4,5,DCZ,A,-3.95257,-8.227296,-11.381897,-7.709551
2016p408314MSZ,2016p408314,4,5,MSZ,A,-5.243292,-9.180675,-12.322606,-7.044642
2020p631606DCZ,2020p631606,8,8,DCZ,A,-7.721614,-11.911912,-16.088537,-11.074671
2020p631606MSZ,2020p631606,8,8,MSZ,A,-6.955952,-11.10746,-14.927208,-10.8606
2018p290475MSZ,2018p290475,6,4,MSZ,A,-9.011908,-12.370947,-15.019483,-11.493123
2018p290475DCZ,2018p290475,6,4,DCZ,A,-7.821409,-12.194144,-14.627441,-12.140285
2019p002955DCZ,2019p002955,7,1,DCZ,A,-6.273194,-10.371892,-14.199704,-8.847477
2019p002955MSZ,2019p002955,7,1,MSZ,A,-6.249615,-10.207299,-14.10854,-8.457859
2015p470462MSZ,2015p470462,3,6,MSZ,A,-7.38459,-11.82081,-15.197813,-10.809828
2018p114719MSZ,2018p114719,6,2,MSZ,A,-9.712867,-12.785891,-15.587467,-12.483145
2018p114719DCZ,2018p114719,6,2,DCZ,A,-9.490054,-12.811209,-15.486824,-12.112582
2017p939205MSZ,2017p939205,5,12,MSZ,A,-7.440719,-11.183622,-14.631956,-9.133703
2018p197148DCZ,2018p197148,6,3,DCZ,A,-8.772331,-12.710254,-15.213878,-10.693146
2018p197148MSZ,2018p197148,6,3,MSZ,A,-6.972454,-10.93071,-14.471362,-11.473705
2018p695260DCZ,2018p695260,6,9,DCZ,A,-7.860723,-12.05593,-15.781623,-11.114149
2018p695260MSZ,2018p695260,6,9,MSZ,A,-7.5163,-11.408565,-14.783095,-10.919599
2015p344414MSZ,2015p344414,3,5,MSZ,A,-9.075923,-12.895228,-15.400256,-12.112582
2021p519055DCZ,2021p519055,9,7,DCZ,A,-6.701909,-11.06185,-15.143536,-9.264797
2021p519055MSZ,2021p519055,9,7,MSZ,A,-5.295788,-9.512798,-13.184239,-8.686595
2014p845106MSZ,2014p845106,2,11,MSZ,A,-7.766067,-11.8249,-15.205813,-9.403925
2020p907447MSZ,2020p907447,8,12,MSZ,A,-7.48316,-11.553747,-15.092054,-11.030499
2020p907447DCZ,2020p907447,8,12,DCZ,A,-9.230543,-12.796663,-17.176526,-11.594136
2014p340763MSZ,2014p340763,2,5,MSZ,A,-7.883581,-11.866747,-15.325103,-9.516866
2017p287838MSZ,2017p287838,5,4,MSZ,A,-10.68875,-13.087962,-15.871236,-12.255263
2017p287838DCZ,2017p287838,5,4,DCZ,A,-10.223693,-13.261625,-15.679841,-11.006108
2015p818392DCZ,2015p818392,3,10,DCZ,A,-5.501869,-9.909506,-13.364435,-10.365523
2015p818392MSZ,2015p818392,3,10,MSZ,A,-5.789623,-10.424364,-14.537057,-9.027377
2014p889755MSZ,2014p889755,2,11,MSZ,A,-8.404816,-12.441795,-15.246802,-10.785377
2016p919618MSZ,2016p919618,4,12,MSZ,A,-7.453775,-11.651039,-14.885535,-9.87782
2016p919618DCZ,2016p919618,4,12,DCZ,A,-8.000366,-11.726119,-15.03629,-11.030499
2016p154476MSZ,2016p154476,4,2,MSZ,A,-9.252205,-12.89922,-15.832917,-11.513926
2016p154476DCZ,2016p154476,4,2,DCZ,A,-8.807813,-12.493755,-14.589868,-12.246895
2021p173171DCZ,2021p173171,9,3,DCZ,A,-9.971766,-13.314735,-17.600901,-9.33477
2021p173171MSZ,2021p173171,9,3,MSZ,A,-7.696031,-11.364505,-15.547116,-11.760106
2019p760286MSZ,2019p760286,7,10,MSZ,A,-7.516548,-11.780805,-15.136017,-10.260162
2019p760286DCZ,2019p760286,7,10,DCZ,A,-5.709359,-10.260162,-14.214497,-11.036691
2022p661096MSZ,2022p661096,10,9,MSZ,A,-6.193636,-10.479741,-14.367158,-9.959
2021p687449MSZ,2021p687449,9,9,MSZ,A,-8.046034,-11.681344,-15.564211,-9.537457
2014p531618MSZ,2014p531618,2,7,MSZ,A,-6.389435,-10.814791,-14.496729,-8.538636
2017p642708DCZ,2017p642708,5,8,DCZ,A,-8.200268,-12.356896,-14.996418,-10.65851
2017p642708MSZ,2017p642708,5,8,MSZ,A,-7.293766,-11.281814,-14.570533,-10.490475
2018p063406MSZ,2018p063406,6,1,MSZ,A,-8.37598,-12.574242,-15.781623,-10.08741
2018p063406DCZ,2018p063406,6,1,DCZ,A,-8.675117,-12.730321,-15.944142,-11.10746
2022p866710MSZ,2022p866710,10,11,MSZ,A,-6.768345,-10.90316,-15.128554,-10.410985
2021p357027DCZ,2021p357027,9,5,DCZ,A,-7.922045,-11.840042,-15.886984,-10.90316
2021p357027MSZ,2021p357027,9,5,MSZ,A,-8.418049,-11.886892,-15.705986,-10.612764
2018p663204MSZ,2018p663204,6,9,MSZ,A,-6.645852,-10.530847,-13.261625,-9.290466
2018p663204DCZ,2018p663204,6,9,DCZ,A,-9.317926,-12.577136,-15.486824,-11.483367
2018p044216DCZ,2018p044216,6,1,DCZ,A,-8.065484,-11.591969,-14.553655,-10.448215
2021p189688DCZ,2021p189688,9,3,DCZ,A,-3.590124,-7.407283,-10.970601,-4.867367
2020p408513DCZ,2020p408513,8,5,DCZ,A,-6.049317,-9.889585,-13.641557,-8.114719
2020p408513MSZ,2020p408513,8,5,MSZ,A,-8.050276,-11.908935,-15.450266,-10.970601
2019p911960DCZ,2019p911960,7,12,DCZ,A,-5.540622,-9.701363,-13.486207,-9.182258
2021p462757DCZ,2021p462757,9,6,DCZ,A,-4.623056,-8.717011,-12.485787,-7.26004
2020p496871DCZ,2020p496871,8,7,DCZ,A,-7.979394,-12.285116,-16.449381,-10.576832
2020p496871MSZ,2020p496871,8,7,MSZ,A,-6.558893,-10.515977,-14.218978,-9.533304
2015p553677MSZ,2015p553677,3,7,MSZ,A,-6.202769,-10.28915,-13.76672,-10.146834
2015p004390MSZ,2015p004390,3,1,MSZ,A,-8.856744,-12.923513,-16.078875,-10.970601
2015p575844MSZ,2015p575844,3,8,MSZ,A,-9.488732,-12.697096,-15.530309,-11.736069
2015p527023MSZ,2015p527023,3,7,MSZ,A,-6.506924,-10.322038,-14.005461,-9.31904
2016p977928DCZ,2016p977928,4,12,DCZ,A,-8.109946,-12.008862,-15.009533,-11.074671
2016p198665DCZ,2016p198665,4,3,DCZ,A,-5.769198,-9.525051,-12.385199,-7.793573
2016p198665MSZ,2016p198665,4,3,MSZ,A,-5.552668,-9.107919,-12.049069,-6.931256
2021p418543MSZ,2021p418543,9,6,MSZ,A,-8.150438,-12.15348,-16.088537,-10.263024
2018p292738MSZ,2018p292738,6,4,MSZ,A,-7.555482,-11.67898,-15.088476,-10.976432
2018p292738DCZ,2018p292738,6,4,DCZ,A,-6.818368,-11.227747,-14.812469,-11.322305
2013p052765MSZ,2013p052765,1,1,MSZ,A,-8.383979,-11.917891,-15.03629,-11.212821
2019p143194DCZ,2019p143194,7,2,DCZ,A,-6.332189,-10.387996,-14.349946,-9.57851
2019p143194MSZ,2019p143194,7,2,MSZ,A,-6.529684,-10.212734,-13.403401,-8.38418
2014p727392MSZ,2014p727392,2,9,MSZ,A,-7.714524,-11.868173,-15.629516,-10.10438
2015p287217MSZ,2015p287217,3,4,MSZ,A,-9.402712,-13.284882,-16.248204,-10.724468
2020p139911MSZ,2020p139911,8,2,MSZ,A,-7.437171,-11.635093,-15.060305,-11.169336
2020p139911DCZ,2020p139911,8,2,DCZ,A,-8.840019,-13.184239,-17.088315,-10.596635
